State,State_code
Total,TT
Maharashtra,MH
Andhra Pradesh,AP
Tamil Nadu,TN
Karnataka,KA
Uttar Pradesh,UP
Delhi,DL
West Bengal,WB
Odisha,OR
Telangana,TG
Bihar,BR
Assam,AS
Kerala,KL
Gujarat,GJ
Rajasthan,RJ
Haryana,HR
Madhya Pradesh,MP
Punjab,PB
Chhattisgarh,CT
Jharkhand,JH
Jammu and Kashmir,JK
Uttarakhand,UT
Goa,GA
Puducherry,PY
Tripura,TR
Himachal Pradesh,HP
Chandigarh,CH
Manipur,MN
Arunachal Pradesh,AR
Nagaland,NL
Meghalaya,ML
Ladakh,LA
Andaman and Nicobar Islands,AN
Dadra and Nagar Haveli and Daman and Diu,DN
Sikkim,SK
Mizoram,MZ
State Unassigned,UN
Lakshadweep,LD
